Day of Week,AOS,LOS,Satellite
4,"(19, 21, 48)","(19, 34, 57)",NOAA-18
5,"(1, 17, 26)","(1, 32, 9)",NOAA-15
5,"(1, 17, 46)","(1, 29, 9)",NOAA-19
5,"(1, 57, 5)","(2, 7, 11)",METOP-B
5,"(2, 46, 51)","(3, 0, 35)",METOP-C
5,"(2, 55, 20)","(3, 10, 41)",NOAA-19
5,"(2, 57, 52)","(3, 11, 33)",NOAA-15
5,"(3, 27, 17)","(3, 40, 19)",NOAA-18
5,"(3, 33, 28)","(3, 48, 41)",METOP-B
5,"(4, 25, 54)","(4, 40, 48)",METOP-C
5,"(4, 38, 4)","(4, 50, 35)",NOAA-19
5,"(5, 5, 59)","(5, 21, 28)",NOAA-18
5,"(5, 15, 1)","(5, 28, 0)",METOP-B
5,"(6, 50, 1)","(7, 0, 45)",NOAA-18
5,"(13, 33, 6)","(13, 46, 0)",NOAA-15
5,"(15, 5, 4)","(15, 15, 37)",METOP-C
5,"(15, 12, 14)","(15, 26, 58)",NOAA-15
5,"(15, 17, 46)","(15, 32, 43)",NOAA-19
5,"(15, 51, 32)","(16, 5, 40)",METOP-B
5,"(16, 43, 30)","(16, 58, 51)",METOP-C
5,"(16, 53, 37)","(17, 3, 11)",NOAA-15
5,"(16, 58, 30)","(17, 12, 59)",NOAA-19
5,"(17, 28, 13)","(17, 43, 30)",NOAA-18
5,"(17, 31, 23)","(17, 46, 1)",METOP-B
5,"(18, 24, 27)","(18, 36, 45)",METOP-C
5,"(19, 9, 24)","(19, 23, 9)",NOAA-18
6,"(0, 52, 31)","(1, 6, 25)",NOAA-15
6,"(1, 6, 27)","(1, 16, 45)",NOAA-19
6,"(2, 26, 58)","(2, 39, 27)",METOP-C
6,"(2, 31, 41)","(2, 46, 19)",NOAA-15
6,"(2, 43, 22)","(2, 58, 47)",NOAA-19
6,"(3, 13, 6)","(3, 27, 39)",METOP-B
6,"(3, 15, 36)","(3, 27, 49)",NOAA-18
6,"(4, 5, 0)","(4, 20, 23)",METOP-C
6,"(4, 25, 21)","(4, 38, 45)",NOAA-19
6,"(4, 53, 34)","(5, 7, 45)",METOP-B
6,"(4, 53, 39)","(5, 9, 24)",NOAA-18
6,"(5, 48, 31)","(5, 58, 48)",METOP-C
6,"(6, 36, 55)","(6, 48, 54)",NOAA-18
6,"(13, 8, 24)","(13, 19, 14)",NOAA-15
6,"(14, 46, 42)","(15, 1, 48)",NOAA-15
6,"(15, 5, 50)","(15, 20, 19)",NOAA-19
6,"(15, 31, 12)","(15, 44, 14)",METOP-B
6,"(16, 22, 51)","(16, 37, 53)",METOP-C
6,"(16, 27, 24)","(16, 39, 11)",NOAA-15
6,"(16, 46, 20)","(17, 1, 9)",NOAA-19
6,"(17, 10, 34)","(17, 25, 48)",METOP-B
6,"(17, 16, 2)","(17, 31, 17)",NOAA-18
6,"(18, 3, 21)","(18, 17, 1)",METOP-C
6,"(18, 52, 7)","(19, 2, 18)",METOP-B
6,"(18, 56, 58)","(19, 11, 16)",NOAA-18
0,"(0, 28, 1)","(0, 40, 34)",NOAA-15
0,"(0, 55, 16)","(1, 4, 17)",NOAA-19
0,"(2, 5, 52)","(2, 20, 49)",NOAA-15
0,"(2, 7, 19)","(2, 18, 23)",METOP-C
0,"(2, 31, 24)","(2, 46, 25)",NOAA-19
0,"(2, 52, 52)","(3, 6, 53)",METOP-B
0,"(3, 4, 4)","(3, 15, 17)",NOAA-18
0,"(3, 44, 22)","(3, 59, 33)",METOP-C
0,"(3, 49, 20)","(3, 59, 1)",NOAA-15
0,"(4, 12, 49)","(4, 26, 51)",NOAA-19
0,"(4, 32, 21)","(4, 47, 9)",METOP-B
0,"(4, 41, 25)","(4, 57, 7)",NOAA-18
0,"(5, 26, 28)","(5, 38, 44)",METOP-C
0,"(6, 23, 57)","(6, 36, 59)",NOAA-18
0,"(14, 21, 17)","(14, 36, 0)",NOAA-15
0,"(14, 53, 56)","(15, 7, 49)",NOAA-19
0,"(15, 11, 3)","(15, 22, 23)",METOP-B
0,"(16, 1, 30)","(16, 14, 46)",NOAA-15
0,"(16, 2, 19)","(16, 16, 51)",METOP-C
0,"(16, 34, 8)","(16, 49, 22)",NOAA-19
0,"(16, 49, 47)","(17, 4, 54)",METOP-B
0,"(17, 3, 55)","(17, 18, 43)",NOAA-18
0,"(17, 42, 23)","(17, 56, 48)",METOP-C
0,"(18, 16, 25)","(18, 26, 1)",NOAA-19
0,"(18, 30, 52)","(18, 42, 46)",METOP-B
0,"(18, 44, 32)","(18, 59, 18)",NOAA-18
